00GE               20131205                                                                                   
0601GEA0N       20140101001185005000005000 0000000000002037   
0601GEA0N       20140101001190005000005000 0000000000002042   
0601GEA0N       20140101001195005000005000 0000000000002047   
0601GEA0N       20140101001200005000005000 0000000000002052   
0601GEA0N       20140101001205005000005000 0000000000002056   
0601GEA0N       20140101001210005000005000 0000000000002061   
0601GEA0N       20140101001215005000005000 0000000000002066   
0601GEA0N       20140101001220005000005000 0000000000002070   
0601GEA0N       20140101001225005000005000 0000000000002076   
0601GEA0N       20140101001230005000005000 0000000000002080   
0601GEA0N       20140101001235005000005000 0000000000002085   
0601GEA0N       20140101001240005000005000 0000000000002090   
0601GEA0N       20140101001245005000005000 0000000000002095   
0601GEA0N       20140101001250005000005000 0000000000002099   
0601GEA0N       20140101001255005000005000 0000000000002104   
0601GEA0N       20140101001260005000005000 0000000000002109   
0601GEA0N       20140101001265005000005000 0000000000002113   
0601GEA0N       20140101001270005000005000 0000000000002118   
0601GEA0N       20140101001275005000005000 0000000000002122   
0601GEA0N       20140101001280005000005000 0000000000002126   
0601GEA0N       20140101001285005000005000 0000000000002131   
0601GEA0N       20140101001290005000005000 0000000000002135   
0601GEA0N       20140101001295005000005000 0000000000002140   
0601GEA0N       20140101001300005000005000 0000000000002144   
0601GEA0N       20140101001305005000005000 0000000000002148   
0601GEA0N       20140101001310005000005000 0000000000002152   
0601GEA0N       20140101001315005000005000 0000000000002157   
0601GEA0N       20140101001320005000005000 0000000000002161   
0601GEA0N       20140101001325005000005000 0000000000002165   
0601GEA0N       20140101001330005000005000 0000000000002170   
0601GEA0N       20140101001335005000005000 0000000000002173   
0601GEA0N       20140101001340005000005000 0000000000002177   
0601GEA0N       20140101001345005000005000 0000000000002182   
0601GEA0N       20140101001350005000005000 0000000000002186   
0601GEA0N       20140101001355005000005000 0000000000002189   
0601GEA0N       20140101001360005000005000 0000000000002194   
0601GEA0N       20140101001365005000005000 0000000000002197   
0601GEA0N       20140101001370005000005000 0000000000002201   
0601GEA0N       20140101001375005000005000 0000000000002206   
0601GEA0N       20140101001380005000005000 0000000000002210   
0601GEA0N       20140101001385005000005000 0000000000002214   
0601GEA0N       20140101001390005000005000 0000000000002219   
0601GEA0N       20140101001395005000005000 0000000000002223   
0601GEA0N       20140101001400005000005000 0000000000002228   
0601GEA0N       20140101001405005000005000 0000000000002232   
0601GEA0N       20140101001410005000005000 0000000000002237   
0601GEA0N       20140101001415005000005000 0000000000002241   
0601GEA0N       20140101001420005000005000 0000000000002245   
0601GEA0N       20140101001425005000005000 0000000000002249   
0601GEA0N       20140101001430005000005000 0000000000002253   
0601GEA0N       20140101001435005000005000 0000000000002258   
0601GEA0N       20140101001440005000005000 0000000000002262   
0601GEA0N       20140101001445005000005000 0000000000002266   
0601GEA0N       20140101001450005000005000 0000000000002270   
0601GEA0N       20140101001455005000005000 0000000000002274   
0601GEA0N       20140101001460005000005000 0000000000002278   
0601GEA0N       20140101001465005000005000 0000000000002282   
0601GEA0N       20140101001470005000005000 0000000000002287   
0601GEA0N       20140101001475005000005000 0000000000002290   
0601GEA0N       20140101001480005000005000 0000000000002294   
0601GEA0N       20140101001485005000005000 0000000000002298   
0601GEA0N       20140101001490005000005000 0000000000002302   
0601GEA0N       20140101001495005000005000 0000000000002306   
0601GEA0N       20140101001500005000005000 0000000000002310   
0601GEA0N       20140101001505005000005000 0000000000002314   
0601GEA0N       20140101001510005000005000 0000000000002317   
0601GEA0N       20140101001515005000005000 0000000000002321   
