9220,Bischofszell Zustellung
6436,Bisisthal
6816,Bissone
3983,Bister
3982,Bitsch
7457,Bivio
3771,Blankenburg
3919,Blatten (Lötschen)
3914,Blatten b. Naters
3914,Blatten b. Naters Zust
4223,Blauen
3717,Blausee-Mitholz
3368,Bleienbach
3674,Bleiken b. Oberdiessbach
1675,Blessens
1966,Blignoud (Ayent)
3989,Blitzingen
1807,Blonay
3638,Blumenstein
5334,Böbikon
4461,Böckten
6743,Bodio TI
2856,Boécourt
1353,Bofflens
1279,Bogis-Bossey
6951,Bogno
2014,Bôle
4556,Bolken
3067,Boll
3067,Boll Zustellung
3065,Bolligen
3065,Bolligen Dorf
3065,Bolligen Station
8715,Bollingen
1470,Bollion
3366,Bollodingen
3766,Boltigen
6981,Bombinasco
7402,Bonaduz
8554,Bonau
2926,Boncourt
2944,Bonfol
3806,Bönigen b. Interlaken
4618,Boningen
5706,Boniswil
1724,Bonnefontaine
8906,Bonstetten
1427,Bonvillars
8113,Boppelsen
1277,Borex
6658,Borgnone
7604,Borgonovo
6935,Bosco Luganese
6685,Bosco/Gurin
3178,Bösingen
1615,Bossonnens
5623,Boswil
1041,Bottens
4814,Bottenwil
1652,Botterens
8598,Bottighofen
4103,Bottmingen
5315,Böttstein
1966,Botyre (Ayent)
2043,Boudevilliers
2017,Boudry
2013,Boudry Dist Ba
1172,Bougy-Villars
1063,Boulens
1699,Bouloz
1946,Bourg-St-Pierre
1722,Bourguillon
1035,Bournens
2803,Bourrignon
1034,Boussens
1897,Bouveret
2113,Boveresse
1932,Bovernier
3533,Bowil
5076,Bözen
6544,Braggio
7527,Brail
7527,Brail Zustellung
6167,Bramboden
1967,Bramois
3957,Bratsch
9502,Braunau
8784,Braunwald
6979,Brè sopra Lugano
6932,Breganzona
7165,Breil/Brigels
4226,Breitenbach
1121,Bremblens
5620,Bremgarten AG
5620,Bremgarten AG 1
5620,Bremgarten AG 1 Zustellung
5620,Bremgarten AG 2
5620,Bremgarten AG Kaserne
3047,Bremgarten b. Bern
1683,Brenles
6937,Breno
1817,Brent
3671,Brenzikofen
2904,Bressaucourt
1053,Bretigny-sur-Morrens
1329,Bretonnières
4207,Bretzwil
3855,Brienz BE
3855,Brienz BE Zustellung
7084,Brienz/Brinzauls GR
3856,Brienzwiler
3900,Brig
3900,Brig Distributionsbasis
3900,Brig Postauto Oberwallis
3900,Brig Zustellung
3900,Brigerbad
1996,Brignon (Nendaz)
6634,Brione (Verzasca)
6645,Brione sopra Minusio
4225,Brislach
6614,Brissago
6614,Brissago Distribuzione
6475,Bristen
4588,Brittern
4805,Brittnau
1636,Broc
6693,Broglio
9552,Bronschhofen
6692,Brontallo
2149,Brot-Dessous
2318,Brot-Plamboz
4101,Bruderholz
5200,Brugg AG
5201,Brugg AG
5200,Brugg AG 1
5200,Brugg AG 1 Zustellung
5200,Brugg AG 3
5200,Brugg AG Dist Fil
5200,Brugg AG Kaserne
5200,Brugg Bahnhof SBB
2555,Brügg BE
4582,Brügglen
9058,Brülisau
5505,Brunegg
3860,Brünig
1719,Brünisried
9125,Brunnadern
6440,Brunnen
6440,Brunnen Bahnhof SBB
6440,Brunnen Zustellung
3307,Brunnenthal
6827,Brusino Arsizio
7743,Brusio
1934,Bruson
3237,Brüttelen
8311,Brütten
8306,Brüttisellen
6837,Bruzella
4416,Bubendorf
4416,Bubendorf Zustellung
8608,Bubikon
8414,Buch am Irchel
8524,Buch b. Frauenfeld
8586,Buch b. Kümmertshausen
9562,Buch b. Märwil
8263,Buch SH
8586,Buchackern
8454,Buchberg
3623,Buchen BE
7223,Buchen im Prättigau
1164,Buchillon
6033,Buchrain
5033,Buchs AG
5033,Buchs AG Zustellung
9471,Buchs Bahnhof SBB
6211,Buchs LU
9470,Buchs SG
9470,Buchs SG 1
9471,Buchs SG 1
9470,Buchs SG 1 Zustellung
9471,Buchs SG 3
9470,Buchs SG Dist Fil
8107,Buchs ZH
8107,Buchs ZH Zustellung
3215,Büchslen
4446,Buckten
3263,Büetigen
3274,Bühl b. Aarberg
9055,Bühler
9215,Buhwil
2925,Buix
8180,Bülach
8180,Bülach Bahnhof SBB
8183,Bülach Dist Ba
8180,Bülach Kaserne
8186,Bülach LZB
8180,Bülach Zustellung
1630,Bulle
1631,Bulle
1630,Bulle 1
1630,Bulle 1 Distribution
1630,Bulle 2
1630,Bulle Dist Fil
1453,Bullet
5624,Bünzen
6374,Buochs
6374,Buochs Zustellung
6343,Buonas
3935,Bürchen
2915,Bure
3294,Büren an der Aare
3294,Büren an der Aare Zust
6382,Büren NW
4413,Büren SO
